description,industry,level,size,line_code,value
ICT Support Service: none of the above,Arts & recreation services,1,total,B1805,117
ICT Support Service: none of the above,Other services,1,total,B1805,126
ICT Support Service: none of the above,total,0,total,B1805,8160
Security attack that resulted in damage: yes,total,0,6–19 employees,B1900.01,1680
Security attack that resulted in damage: yes,total,0,20–49 employees,B1900.01,558
Security attack that resulted in damage: yes,total,0,50–99 employees,B1900.01,198
Security attack that resulted in damage: yes,total,0,100+ employees,B1900.01,201
Security attack that resulted in damage: yes,"Agriculture, forestry, & fishing",1,total,B1900.01,81
Security attack that resulted in damage: yes,Agriculture,2,total,B1900.01,63
Security attack that resulted in damage: yes,Commercial fishing,2,total,B1900.01,3
Security attack that resulted in damage: yes,Forestry & logging,2,total,B1900.01,6
Security attack that resulted in damage: yes,"Agriculture, forestry, & fishing support services",2,total,B1900.01,12
Security attack that resulted in damage: yes,Mining,1,total,B1900.01,9
Security attack that resulted in damage: yes,Manufacturing,1,total,B1900.01,375
Security attack that resulted in damage: yes,"Food, beverage, & tobacco",2,total,B1900.01,78
Security attack that resulted in damage: yes,"Textile, clothing, footwear, & leather",2,total,B1900.01,18
Security attack that resulted in damage: yes,Wood & paper product,2,total,B1900.01,54
Security attack that resulted in damage: yes,"Printing, publishing, & recorded media",2,total,B1900.01,21
Security attack that resulted in damage: yes,"Petroleum, coal, chemical, & associated product",2,total,B1900.01,30
Security attack that resulted in damage: yes,Non-metallic mineral product,2,total,B1900.01,12
Security attack that resulted in damage: yes,Metal product,2,total,B1900.01,48
Security attack that resulted in damage: yes,Transport and industrial machinery & equipment,2,total,B1900.01,69
Security attack that resulted in damage: yes,Other machinery & equipment,2,total,B1900.01,24
Security attack that resulted in damage: yes,Other manufacturing,2,total,B1900.01,21
Security attack that resulted in damage: yes,"Electricity, gas, water, & waste services",1,total,B1900.01,12
Security attack that resulted in damage: yes,Construction,1,total,B1900.01,477
Security attack that resulted in damage: yes,Wholesale trade,1,total,B1900.01,174
Security attack that resulted in damage: yes,Machinery & equipment wholesaling,2,total,B1900.01,51
Security attack that resulted in damage: yes,Other wholesale trade,2,total,B1900.01,123
Security attack that resulted in damage: yes,Retail trade,1,total,B1900.01,384
Security attack that resulted in damage: yes,Accommodation & food services,1,total,B1900.01,216
Security attack that resulted in damage: yes,"Transport, postal, & warehousing",1,total,B1900.01,135
Security attack that resulted in damage: yes,Information media & telecommunications,1,total,B1900.01,27
Security attack that resulted in damage: yes,Publishing,2,total,B1900.01,12
Security attack that resulted in damage: yes,Motion picture,2,total,B1900.01,3
Security attack that resulted in damage: yes,Telecommunications,2,total,B1900.01,9
Security attack that resulted in damage: yes,Financial & insurance services,1,total,B1900.01,39
Security attack that resulted in damage: yes,Finance,2,total,B1900.01,9
Security attack that resulted in damage: yes,Insurance,2,total,B1900.01,3
Security attack that resulted in damage: yes,Auxiliary,2,total,B1900.01,30
Security attack that resulted in damage: yes,"Rental, hiring, & real estate services",1,total,B1900.01,54
Security attack that resulted in damage: yes,"Professional, scientific, & technical services",1,total,B1900.01,294
Security attack that resulted in damage: yes,Computer systems design,2,total,B1900.01,66
Security attack that resulted in damage: yes,Other professional scientific,2,total,B1900.01,228
Security attack that resulted in damage: yes,Administrative & support services,1,total,B1900.01,90
Security attack that resulted in damage: yes,Education & training,1,total,B1900.01,39
Security attack that resulted in damage: yes,Health care & social assistance,1,total,B1900.01,159
Security attack that resulted in damage: yes,Arts & recreation services,1,total,B1900.01,30
Security attack that resulted in damage: yes,Other services,1,total,B1900.01,36
Security attack that resulted in damage: yes,total,0,total,B1900.01,2637
Security attack that resulted in damage: no,total,0,6–19 employees,B1900.02,29526
Security attack that resulted in damage: no,total,0,20–49 employees,B1900.02,7179
Security attack that resulted in damage: no,total,0,50–99 employees,B1900.02,2079
Security attack that resulted in damage: no,total,0,100+ employees,B1900.02,1536
Security attack that resulted in damage: no,"Agriculture, forestry, & fishing",1,total,B1900.02,3078
Security attack that resulted in damage: no,Agriculture,2,total,B1900.02,2073
Security attack that resulted in damage: no,Commercial fishing,2,total,B1900.02,42
Security attack that resulted in damage: no,Forestry & logging,2,total,B1900.02,216
Security attack that resulted in damage: no,"Agriculture, forestry, & fishing support services",2,total,B1900.02,753
Security attack that resulted in damage: no,Mining,1,total,B1900.02,87
Security attack that resulted in damage: no,Manufacturing,1,total,B1900.02,4716
Security attack that resulted in damage: no,"Food, beverage, & tobacco",2,total,B1900.02,1032
Security attack that resulted in damage: no,"Textile, clothing, footwear, & leather",2,total,B1900.02,243
Security attack that resulted in damage: no,Wood & paper product,2,total,B1900.02,444
Security attack that resulted in damage: no,"Printing, publishing, & recorded media",2,total,B1900.02,183
Security attack that resulted in damage: no,"Petroleum, coal, chemical, & associated product",2,total,B1900.02,387
